epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__clean__none,37,hellinger,SEA_A,54.26,57000,2,4,0.1
0,SEA_A__s112__splice__severe,37,hellinger,SEA_A,53.62,57000,1,4,0.1
0,SEA_A__s112__instance__moderate,37,hellinger,SEA_A,53.88,57000,0,4,0.1
0,SEA_A__s112__concept__moderate,37,hellinger,SEA_A,53.78,57000,0,4,0.1
0,SEA_A__s112__splice__moderate,37,hellinger,SEA_A,54.06,57000,1,4,0.1
0,SEA_A__s112__concept__severe,37,hellinger,SEA_A,53.68,57000,1,4,0.1
0,SEA_A__s112__instance__severe,37,hellinger,SEA_A,53.44,57000,1,4,0.1
1,SEA_A__s112__concept__moderate,37,hellinger,SEA_A,53.4,57000,1,4,0.1
1,SEA_A__s112__splice__moderate,37,hellinger,SEA_A,53.5,57000,0,4,0.1
1,SEA_A__s112__instance__severe,37,hellinger,SEA_A,53.18,57000,4,4,0.1
1,SEA_A__s112__splice__severe,37,hellinger,SEA_A,53.86,57000,1,4,0.1
1,SEA_A__s112__clean__none,37,hellinger,SEA_A,54.16,57000,1,4,0.1
1,SEA_A__s112__concept__severe,37,hellinger,SEA_A,53.56,57000,0,4,0.1
1,SEA_A__s112__instance__moderate,37,hellinger,SEA_A,53.72,57000,1,4,0.1
2,SEA_A__s112__clean__none,37,hellinger,SEA_A,53.56,57000,0,4,0.1
2,SEA_A__s112__instance__severe,37,hellinger,SEA_A,53.38,57000,2,4,0.1
2,SEA_A__s112__instance__moderate,37,hellinger,SEA_A,54.3,57000,3,4,0.1
2,SEA_A__s112__splice__severe,37,hellinger,SEA_A,54.0,57000,3,4,0.1
2,SEA_A__s112__concept__moderate,37,hellinger,SEA_A,53.56,57000,1,4,0.1
2,SEA_A__s112__splice__moderate,37,hellinger,SEA_A,54.06,57000,2,4,0.1
2,SEA_A__s112__concept__severe,37,hellinger,SEA_A,53.76,57000,1,4,0.1
3,SEA_A__s112__concept__severe,37,hellinger,SEA_A,53.54,57000,0,4,0.1
3,SEA_A__s112__clean__none,37,hellinger,SEA_A,53.68,57000,3,4,0.1
3,SEA_A__s112__instance__moderate,37,hellinger,SEA_A,54.28,57000,23,4,0.1
3,SEA_A__s112__concept__moderate,37,hellinger,SEA_A,54.38,57000,16,4,0.1
3,SEA_A__s112__splice__moderate,37,hellinger,SEA_A,53.54,57000,1,4,0.1
3,SEA_A__s112__instance__severe,37,hellinger,SEA_A,54.16,57000,25,4,0.1
3,SEA_A__s112__splice__severe,37,hellinger,SEA_A,53.86,57000,27,4,0.1
