epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__splice__moderate,47,hddm_w,SEA_A,53.44,57000,0,2,0.1
0,SEA_A__s112__clean__none,47,hddm_w,SEA_A,53.7,57000,4,2,0.1
0,SEA_A__s112__instance__severe,47,hddm_w,SEA_A,53.339999999999996,57000,0,2,0.1
0,SEA_A__s112__concept__severe,47,hddm_w,SEA_A,53.64,57000,1,2,0.1
0,SEA_A__s112__instance__moderate,47,hddm_w,SEA_A,53.74,57000,2,2,0.1
0,SEA_A__s112__concept__moderate,47,hddm_w,SEA_A,52.94,57000,0,2,0.1
0,SEA_A__s112__splice__severe,47,hddm_w,SEA_A,53.76,57000,0,2,0.1
1,SEA_A__s112__clean__none,47,hddm_w,SEA_A,54.3,57000,3,2,0.1
1,SEA_A__s112__instance__moderate,47,hddm_w,SEA_A,54.019999999999996,57000,3,2,0.1
1,SEA_A__s112__splice__moderate,47,hddm_w,SEA_A,53.9,57000,2,2,0.1
1,SEA_A__s112__splice__severe,47,hddm_w,SEA_A,53.66,57000,3,2,0.1
1,SEA_A__s112__concept__moderate,47,hddm_w,SEA_A,53.46,57000,4,2,0.1
1,SEA_A__s112__concept__severe,47,hddm_w,SEA_A,53.7,57000,17,2,0.1
1,SEA_A__s112__instance__severe,47,hddm_w,SEA_A,54.02,57000,24,2,0.1
2,SEA_A__s112__clean__none,47,hddm_w,SEA_A,54.28,57000,38,2,0.1
2,SEA_A__s112__splice__moderate,47,hddm_w,SEA_A,54.06,57000,33,2,0.1
2,SEA_A__s112__splice__severe,47,hddm_w,SEA_A,53.86,57000,2,2,0.1
2,SEA_A__s112__concept__moderate,47,hddm_w,SEA_A,54.26,57000,14,2,0.1
2,SEA_A__s112__instance__moderate,47,hddm_w,SEA_A,53.96,57000,1,2,0.1
2,SEA_A__s112__instance__severe,47,hddm_w,SEA_A,53.96,57000,3,2,0.1
2,SEA_A__s112__concept__severe,47,hddm_w,SEA_A,54.08,57000,2,2,0.1
3,SEA_A__s112__instance__moderate,47,hddm_w,SEA_A,53.9,57000,0,2,0.1
3,SEA_A__s112__instance__severe,47,hddm_w,SEA_A,53.86,57000,4,2,0.1
3,SEA_A__s112__concept__severe,47,hddm_w,SEA_A,53.9,57000,16,2,0.1
3,SEA_A__s112__clean__none,47,hddm_w,SEA_A,54.28,57000,38,2,0.1
3,SEA_A__s112__splice__severe,47,hddm_w,SEA_A,54.04,57000,28,2,0.1
3,SEA_A__s112__concept__moderate,47,hddm_w,SEA_A,53.38,57000,1,2,0.1
3,SEA_A__s112__splice__moderate,47,hddm_w,SEA_A,54.0,57000,37,2,0.1
