dataset,base_key,attack_seed,category,mode,level,condition,run_id,detector,policy,guarded,series,rows,common_host_rows,mask_sha256,correct,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k,mode_control,level_control,condition_control,run_id_control,detector_control,policy_control,series_control,rows_control,common_host_rows_control,mask_sha256_control,correct_control,accuracy_control,macro_f1_control,macro_recall_control,roc_auc_control,poison_admission_rate_control,clean_withhold_rate_control,resets_per_100k_control,seconds_per_100k_control,accuracy_difference,macro_f1_difference,poison_admission_rate_difference,clean_withhold_rate_difference
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__adwin__confirmed__unguarded,adwin,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122795,0.6591179912185591,0.5351743815741397,0.5153954103695506,0.8148043909746293,1.0,0.0,8.457915680769382,68.33588683309262,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115568,0.6203261371321832,0.3886082035082847,0.3475349149533221,0.7737691331516405,1.0,0.0,0.0,67.13845368673154,3.8791854086375865,14.656617806585498,0.0,0.0
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__adwin__confirmed__guarded,adwin,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115317,0.6189788622773776,0.4587905983998679,0.4378270909733571,0.7766469531259795,0.833365160931912,0.1677106292524414,7.01388129624778,81.31136863514656,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115565,0.6203100342454724,0.3774561332991747,0.3561800625357998,0.7857553786716405,0.8953855768896913,0.1056972189069029,0.0,248.1509192516512,-0.13311719680947354,8.13344651006932,-6.20204159577793,6.201341034553851
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__adwin__immediate__unguarded,adwin,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,134090,0.7197453596848128,0.6614616124548472,0.6457104594132903,0.8375729158564174,1.0,0.0,46.62168155741171,47.239425831287,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115568,0.6203261371321832,0.3886082035082847,0.3475349149533221,0.7737691331516405,1.0,0.0,0.0,67.13845368673154,9.94192225526296,27.285340894656258,0.0,0.0
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__adwin__immediate__guarded,adwin,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,114429,0.6142124078109735,0.4871913412283002,0.4763717850423583,0.7990883938851192,0.6901930488524703,0.3101657853241221,25.58003766866837,51.5503290747994,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115565,0.6203100342454724,0.3774561332991747,0.3561800625357998,0.7857553786716405,0.8953855768896913,0.1056972189069029,0.0,248.1509192516512,-0.6097626434498848,10.97352079291255,-20.5192528037221,20.44685664172192
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__d3_oof__confirmed__unguarded,d3_oof,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,113482,0.6091292632392566,0.4237651984519762,0.3927532735231328,0.733802175521703,1.0,0.0,1.8566156372420597,75.90727355993415,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115568,0.6203261371321832,0.3886082035082847,0.3475349149533221,0.7737691331516405,1.0,0.0,0.0,67.13845368673154,-1.1196873892926562,3.515699494369151,0.0,0.0
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__d3_oof__confirmed__guarded,d3_oof,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,108846,0.5842449356421294,0.3613064599464224,0.339076948928135,0.7448026413942432,0.8451703065865769,0.1551075760611683,1.2377437581613728,115.80164968552704,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115565,0.6203100342454724,0.3774561332991747,0.3561800625357998,0.7857553786716405,0.8953855768896913,0.1056972189069029,0.0,248.1509192516512,-3.606509860334295,-1.6149673352752303,-5.021527030311446,4.94103571542654
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__d3_oof__immediate__unguarded,d3_oof,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,117508,0.6307393372051829,0.4813525943654887,0.4453066019258572,0.7730950904699193,1.0,0.0,3.713231274484119,72.5192786841887,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115568,0.6203261371321832,0.3886082035082847,0.3475349149533221,0.7737691331516405,1.0,0.0,0.0,67.13845368673154,1.0413200072999729,9.274439085720404,0.0,0.0
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__d3_oof__immediate__guarded,d3_oof,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,114517,0.6146847591544911,0.4448423703477853,0.4170132948146692,0.76658029920606,0.7816742474219646,0.2193860512659679,3.0943593954034325,90.59686681667792,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115565,0.6203100342454724,0.3774561332991747,0.3561800625357998,0.7857553786716405,0.8953855768896913,0.1056972189069029,0.0,248.1509192516512,-0.5625275090981319,6.738623704861057,-11.371132946772677,11.368883235906502
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__hddm_w__confirmed__unguarded,hddm_w,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,120424,0.6463913430881043,0.5114974224305044,0.4858228596652099,0.7972618512468188,1.0,0.0,8.66420630712961,71.53502579662728,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115568,0.6203261371321832,0.3886082035082847,0.3475349149533221,0.7737691331516405,1.0,0.0,0.0,67.13845368673154,2.60652059559211,12.288921892221977,0.0,0.0
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__hddm_w__confirmed__guarded,hddm_w,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,116714,0.6264774398557181,0.4664943352384411,0.4439296278190006,0.759023901478195,0.8287385854657824,0.1716803006147618,7.01388129624778,83.30070322409813,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115565,0.6203100342454724,0.3774561332991747,0.3561800625357998,0.7857553786716405,0.8953855768896913,0.1056972189069029,0.0,248.1509192516512,0.6167405610245758,8.903820193926638,-6.664699142390895,6.598308170785891
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__hddm_w__immediate__unguarded,hddm_w,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,133142,0.7146568474841923,0.6544986160640823,0.6363356719577045,0.8361759860581475,1.0,0.0,51.985237842777664,46.51585626079972,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115568,0.6203261371321832,0.3886082035082847,0.3475349149533221,0.7737691331516405,1.0,0.0,0.0,67.13845368673154,9.433071035200912,26.589041255579765,0.0,0.0
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__hddm_w__immediate__guarded,hddm_w,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,116157,0.6234876705564084,0.5084252758127098,0.4991308633115577,0.7825319072154502,0.668657338286865,0.3305484651281649,22.69196889962517,53.3316235278296,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115565,0.6203100342454724,0.3774561332991747,0.3561800625357998,0.7857553786716405,0.8953855768896913,0.1056972189069029,0.0,248.1509192516512,0.31776363109360384,13.096914251353509,-22.67282386028263,22.4851246221262
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__hellinger__confirmed__unguarded,hellinger,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,119657,0.6422743717190368,0.4830860599947968,0.4460671393296004,0.7863146408270854,1.0,0.0,3.3006500217636607,71.07785148313496,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115568,0.6203261371321832,0.3886082035082847,0.3475349149533221,0.7737691331516405,1.0,0.0,0.0,67.13845368673154,2.1948234586853577,9.447785648651214,0.0,0.0
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__hellinger__confirmed__guarded,hellinger,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115866,0.6219256905454584,0.4196565750260611,0.3956863243702801,0.7725387067101626,0.824155411270442,0.1756644916236159,2.8880687690432034,97.62249056733384,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115565,0.6203100342454724,0.3774561332991747,0.3561800625357998,0.7857553786716405,0.8953855768896913,0.1056972189069029,0.0,248.1509192516512,0.1615656299986057,4.220044172688636,-7.123016561924933,6.996727271671299
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__hellinger__immediate__unguarded,hellinger,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122417,0.6570890274929952,0.5340785978582911,0.5035292673498903,0.7845951222368265,1.0,0.0,6.6013000435273215,60.81032371121819,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115568,0.6203261371321832,0.3886082035082847,0.3475349149533221,0.7737691331516405,1.0,0.0,0.0,67.13845368673154,3.676289036081204,14.547039435000647,0.0,0.0
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__hellinger__immediate__guarded,hellinger,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,112602,0.6044057498040816,0.3818269507004159,0.3525069838872939,0.8231592091963551,0.8178188257352176,0.1845795545953229,1.8566156372420597,93.59414866956725,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115565,0.6203100342454724,0.3774561332991747,0.3561800625357998,0.7857553786716405,0.8953855768896913,0.1056972189069029,0.0,248.1509192516512,-1.5904284441390804,0.4370817401241178,-7.756675115447376,7.8882335688420016
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__adwin__confirmed__unguarded,adwin,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,128233,0.68830715719638,0.5583704978709463,0.5536792128532838,0.9055416778953578,1.0,0.0,8.87049693348984,148.01024556834687,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123490,0.6628484933065668,0.4881918664481736,0.4953623409776187,0.887339364916766,1.0,0.0,0.0,122.51519084978968,2.5458663889813216,7.017863142277269,0.0,0.0
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__adwin__confirmed__guarded,adwin,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,124458,0.6680443580852594,0.5145558228647269,0.5128873520321977,0.9013431437292038,0.8548092002090957,0.1178688344164403,8.251625054409153,165.2877623243172,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,117946,0.6330903586649633,0.4341755641205,0.4331860789345789,0.8815049226578303,0.8817157460649359,0.0958645702424129,0.0,290.82425655950226,3.495399942029609,8.038025874422688,-2.690654585584018,2.20042641740274
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__adwin__immediate__unguarded,adwin,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,132164,0.7094073064164635,0.6555020441891837,0.6902023026426564,0.8433394977109674,1.0,0.0,76.94640363236535,89.00733229083934,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123490,0.6628484933065668,0.4881918664481736,0.4953623409776187,0.887339364916766,1.0,0.0,0.0,122.51519084978968,4.655881310989674,16.73101777410101,0.0,0.0
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__adwin__immediate__guarded,adwin,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,120350,0.6459941385492373,0.5055386903126824,0.513024652520635,0.8247641605794925,0.5702793750363013,0.4129952367179681,39.4015096348037,98.1033789579392,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,117946,0.6330903586649633,0.4341755641205,0.4331860789345789,0.8815049226578303,0.8817157460649359,0.0958645702424129,0.0,290.82425655950226,1.2903779884273936,7.136312619218238,-31.14363710286345,31.71306664755552
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__d3_oof__confirmed__unguarded,d3_oof,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123625,0.6635731232085539,0.4847697087154625,0.4843258079513336,0.9060675942704304,1.0,0.0,1.4440343845216017,146.96259538360027,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123490,0.6628484933065668,0.4881918664481736,0.4953623409776187,0.887339364916766,1.0,0.0,0.0,122.51519084978968,0.07246299019870728,-0.3422157732711095,0.0,0.0
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__d3_oof__confirmed__guarded,d3_oof,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,121797,0.6537610975727582,0.4820412958692094,0.4783388652781299,0.8959847146577791,0.8131062322123482,0.156717353857337,1.0314531318011442,193.05929333082372,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,117946,0.6330903586649633,0.4341755641205,0.4331860789345789,0.8815049226578303,0.8817157460649359,0.0958645702424129,0.0,290.82425655950226,2.0670738907794917,4.78657317487094,-6.860951385258762,6.085278361492411
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__d3_oof__immediate__unguarded,d3_oof,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,126377,0.6783448379512834,0.5138789037209563,0.5200025414185943,0.919088666811378,1.0,0.0,3.713231274484119,142.29012575478433,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123490,0.6628484933065668,0.4881918664481736,0.4953623409776187,0.887339364916766,1.0,0.0,0.0,122.51519084978968,1.5496344644716609,2.5687037272782764,0.0,0.0
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__d3_oof__immediate__guarded,d3_oof,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122774,0.6590052710115833,0.4683330677853068,0.4660800681517222,0.8743196402829831,0.8445286635302317,0.1646877247585725,2.269196889962517,170.4272930750256,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,117946,0.6330903586649633,0.4341755641205,0.4331860789345789,0.8815049226578303,0.8817157460649359,0.0958645702424129,0.0,290.82425655950226,2.5914912346620023,3.4157503664806796,-3.7187082534704152,6.882315451615958
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__hddm_w__confirmed__unguarded,hddm_w,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,127693,0.6854086375884317,0.5517258621996974,0.5496792610207233,0.9071969432452774,1.0,0.0,8.457915680769382,151.3516662919159,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123490,0.6628484933065668,0.4881918664481736,0.4953623409776187,0.887339364916766,1.0,0.0,0.0,122.51519084978968,2.2560144281864924,6.353399575152386,0.0,0.0
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__hddm_w__confirmed__guarded,hddm_w,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123398,0.6623546714474348,0.5131944333103611,0.5140658918920618,0.8950412021333781,0.8408404483940292,0.1397220864250301,7.839043801688695,169.21057953225207,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,117946,0.6330903586649633,0.4341755641205,0.4331860789345789,0.8815049226578303,0.8817157460649359,0.0958645702424129,0.0,290.82425655950226,2.9264312782471436,7.901886918986106,-4.08752976709067,4.385751618261718
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__hddm_w__immediate__unguarded,hddm_w,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,133267,0.7153278010971433,0.6577009637658628,0.6864519599754048,0.8510315142304145,1.0,0.0,67.86961607251529,94.08884817627852,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123490,0.6628484933065668,0.4881918664481736,0.4953623409776187,0.887339364916766,1.0,0.0,0.0,122.51519084978968,5.247930779057652,16.950909731768927,0.0,0.0
