stream,detector,filter,filter_seed,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,malicious_recall,benign_fpr
RBF_I,adwin,random_rows,17.0,0.3354714000542748,0.3437799043062201,0.45691171297924726,0.4034202947046381,0.5,10928.5,,
RBF_I,adwin,random_rows,27.0,0.33851528679456266,0.3461722488038278,0.5307773478719663,0.37016145416303164,0.5,10928.5,,
RBF_I,adwin,random_rows,37.0,0.33823354467705724,0.3452153110047847,0.4403798804080197,0.40171134242384404,0.5,10928.5,,
RBF_I,adwin,random_rows,47.0,0.33115827744971,0.33966507177033495,0.593387266971509,0.3372312582908087,0.5,10928.5,,
RBF_I,d3_oof,learned_features,7.0,0.3299811818438918,0.3377511961722488,0.5089693985226873,0.477376176437844,0.0,10918.0,,
RBF_I,d3_oof,learned_features,17.0,0.3419910354037297,0.34980861244019135,0.7766443897291594,0.30290926954083464,0.0,10961.0,,
RBF_I,d3_oof,learned_features,27.0,0.33929404725953993,0.34923444976076556,0.8712627506155469,0.2110326990438799,0.0,11029.0,,
RBF_I,d3_oof,learned_features,37.0,0.33176491401525016,0.3382775119617225,0.253253605346465,0.5165881462742388,0.0,10968.0,,
RBF_I,d3_oof,learned_features,47.0,0.3461485955266365,0.3576555023923445,0.5912768202602884,0.3911440859998629,0.0,10894.0,,
RBF_I,d3_oof,learned_features_label,7.0,0.33332521940709725,0.3390430622009569,0.6102708406612734,0.4203495018124203,0.0,10573.0,,
RBF_I,d3_oof,learned_features_label,17.0,0.3325437520703086,0.33593301435406697,0.4322898346816743,0.4409104746761199,0.0,10905.0,,
RBF_I,d3_oof,learned_features_label,27.0,0.33344250818403237,0.3388516746411483,0.6144917340837144,0.3583747530447592,0.0,10815.0,,
RBF_I,d3_oof,learned_features_label,37.0,0.33336146635422503,0.33894736842105266,0.7038339781920506,0.35878950576244617,0.0,10862.5,,
RBF_I,d3_oof,learned_features_label,47.0,0.34499989057752856,0.35325358851674643,0.696095673584242,0.33477136080278613,0.0,11126.0,,
RBF_I,d3_oof,none,,0.34357187532061073,0.3530622009569378,0.6211748153359128,0.36079806876441556,0.0,11400.0,,
RBF_I,d3_oof,oracle_blocks,,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,d3_oof,oracle_rows,,0.35112853363164076,0.3575598086124402,0.0,0.362835665714593,0.0,9978.5,,
RBF_I,d3_oof,random_blocks,7.0,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,d3_oof,random_blocks,17.0,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,d3_oof,random_blocks,27.0,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,d3_oof,random_blocks,37.0,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,d3_oof,random_blocks,47.0,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,d3_oof,random_rows,7.0,0.3356787224152674,0.34210526315789475,0.4695743932465705,0.4494006716301971,0.0,9978.5,,
RBF_I,d3_oof,random_rows,17.0,0.3354714000542748,0.3437799043062201,0.45691171297924726,0.44887484015918355,0.0,9978.5,,
RBF_I,d3_oof,random_rows,27.0,0.33851528679456266,0.3461722488038278,0.5307773478719663,0.4156159996175771,0.0,9978.5,,
RBF_I,d3_oof,random_rows,37.0,0.33823354467705724,0.3452153110047847,0.4403798804080197,0.4471658878783895,0.0,9978.5,,
RBF_I,d3_oof,random_rows,47.0,0.33115827744971,0.33966507177033495,0.593387266971509,0.38268580374535416,0.0,9978.5,,
RBF_I,hddm_w,learned_features,7.0,0.3299811818438918,0.3377511961722488,0.594794231445656,0.4341265379469803,0.5,11821.0,,
RBF_I,hddm_w,learned_features,17.0,0.3419910354037297,0.34980861244019135,0.7766443897291594,0.2594642934642796,1.0,12784.0,,
RBF_I,hddm_w,learned_features,27.0,0.33929404725953993,0.34923444976076556,0.8712627506155469,0.2110326990438799,1.0,12823.0,,
RBF_I,hddm_w,learned_features,37.0,0.33176491401525016,0.3382775119617225,0.4291241646148435,0.4291686642182377,0.5,11883.0,,
RBF_I,hddm_w,learned_features,47.0,0.3632797188572601,0.37224880382775116,0.5912768202602884,0.34841681327259016,0.5,11785.5,,
RBF_I,hddm_w,learned_features_label,7.0,0.33332521940709725,0.3390430622009569,0.6102708406612734,0.4203495018124203,0.0,10573.0,,
RBF_I,hddm_w,learned_features_label,17.0,0.3325437520703086,0.33593301435406697,0.4322898346816743,0.4409104746761199,0.0,10905.0,,
RBF_I,hddm_w,learned_features_label,27.0,0.33344250818403237,0.3388516746411483,0.6144917340837144,0.3583747530447592,0.0,10815.0,,
RBF_I,hddm_w,learned_features_label,37.0,0.33336146635422503,0.33894736842105266,0.7038339781920506,0.35878950576244617,0.0,10862.5,,
RBF_I,hddm_w,learned_features_label,47.0,0.34499989057752856,0.35325358851674643,0.696095673584242,0.33477136080278613,0.0,11126.0,,
RBF_I,hddm_w,none,,0.34357187532061073,0.3530622009569378,0.8040801969750264,0.2700921400145799,0.5,12350.0,,
RBF_I,hddm_w,oracle_blocks,,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,hddm_w,oracle_rows,,0.35112853363164076,0.3575598086124402,0.0,0.362835665714593,0.0,9978.5,,
RBF_I,hddm_w,random_blocks,7.0,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,hddm_w,random_blocks,17.0,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,hddm_w,random_blocks,27.0,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,hddm_w,random_blocks,37.0,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,hddm_w,random_blocks,47.0,0.3184156847862005,0.3203349282296651,0.0,0.6818181818181819,0.0,6175.0,,
RBF_I,hddm_w,random_rows,7.0,0.3356787224152674,0.34210526315789475,0.4695743932465705,0.4494006716301971,0.0,9978.5,,
