epoch,condition,seed,detector,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__concept__moderate,7,hellinger,53.5,57000,2,2,0.1
0,RBF_I__s112__splice__moderate,7,hellinger,31.22,57000,3,2,0.1
0,RBF_I__s112__instance__moderate,7,hellinger,34.26,57000,0,2,0.1
0,SEA_A__s112__splice__severe,7,hellinger,53.76,57000,2,2,0.1
0,RBF_I__s112__clean__none,7,hellinger,32.84,57000,1,2,0.1
0,SEA_A__s112__clean__none,7,hellinger,54.2,57000,1,2,0.1
0,SEA_A__s112__concept__severe,7,hellinger,53.64,57000,1,2,0.1
0,SEA_A__s112__instance__moderate,7,hellinger,54.04,57000,2,2,0.1
0,RBF_I__s112__splice__severe,7,hellinger,31.96,57000,1,2,0.1
0,RBF_I__s112__concept__moderate,7,hellinger,33.06,57000,2,2,0.1
0,SEA_A__s112__instance__severe,7,hellinger,53.96,57000,29,2,0.1
0,SEA_A__s112__splice__moderate,7,hellinger,54.06,57000,32,2,0.1
0,RBF_I__s112__instance__severe,7,hellinger,30.28,57000,28,2,0.1
0,RBF_I__s112__concept__severe,7,hellinger,33.3,57000,1,2,0.1
1,RBF_I__s112__instance__moderate,7,hellinger,31.36,57000,27,2,0.1
1,SEA_A__s112__splice__severe,7,hellinger,53.74,57000,3,2,0.1
1,RBF_I__s112__concept__moderate,7,hellinger,34.160000000000004,57000,2,2,0.1
1,SEA_A__s112__concept__severe,7,hellinger,53.96,57000,1,2,0.1
1,RBF_I__s112__splice__severe,7,hellinger,34.3,57000,0,2,0.1
1,RBF_I__s112__clean__none,7,hellinger,32.800000000000004,57000,27,2,0.1
1,RBF_I__s112__concept__severe,7,hellinger,34.5,57000,0,2,0.1
1,SEA_A__s112__concept__moderate,7,hellinger,53.54,57000,1,2,0.1
1,RBF_I__s112__instance__severe,7,hellinger,31.36,57000,1,2,0.1
1,SEA_A__s112__instance__moderate,7,hellinger,54.339999999999996,57000,26,2,0.1
1,RBF_I__s112__splice__moderate,7,hellinger,32.04,57000,27,2,0.1
1,SEA_A__s112__clean__none,7,hellinger,53.54,57000,1,2,0.1
1,SEA_A__s112__instance__severe,7,hellinger,53.36,57000,3,2,0.1
1,SEA_A__s112__splice__moderate,7,hellinger,53.78,57000,1,2,0.1
2,RBF_I__s112__clean__none,7,hellinger,32.54,57000,2,2,0.1
2,SEA_A__s112__instance__severe,7,hellinger,54.06,57000,30,2,0.1
2,RBF_I__s112__splice__severe,7,hellinger,32.04,57000,22,2,0.1
2,SEA_A__s112__clean__none,7,hellinger,53.54,57000,1,2,0.1
2,RBF_I__s112__instance__moderate,7,hellinger,32.82,57000,1,2,0.1
2,RBF_I__s112__concept__moderate,7,hellinger,32.72,57000,27,2,0.1
2,SEA_A__s112__splice__severe,7,hellinger,53.72,57000,1,2,0.1
2,SEA_A__s112__concept__severe,7,hellinger,53.22,57000,1,2,0.1
2,RBF_I__s112__concept__severe,7,hellinger,31.3,57000,2,2,0.1
2,SEA_A__s112__splice__moderate,7,hellinger,54.02,57000,35,2,0.1
2,SEA_A__s112__instance__moderate,7,hellinger,54.4,57000,28,2,0.1
2,RBF_I__s112__splice__moderate,7,hellinger,32.08,57000,28,2,0.1
2,RBF_I__s112__instance__severe,7,hellinger,32.94,57000,1,2,0.1
2,SEA_A__s112__concept__moderate,7,hellinger,53.72,57000,27,2,0.1
3,SEA_A__s112__splice__severe,7,hellinger,53.82,57000,32,2,0.1
3,RBF_I__s112__splice__severe,7,hellinger,31.7,57000,20,2,0.1
3,SEA_A__s112__instance__moderate,7,hellinger,53.78,57000,1,2,0.1
3,RBF_I__s112__concept__moderate,7,hellinger,33.28,57000,1,2,0.1
3,SEA_A__s112__clean__none,7,hellinger,54.22,57000,33,2,0.1
3,SEA_A__s112__instance__severe,7,hellinger,54.12,57000,26,2,0.1
3,RBF_I__s112__concept__severe,7,hellinger,32.3,57000,15,2,0.1
3,SEA_A__s112__concept__severe,7,hellinger,53.74,57000,20,2,0.1
3,RBF_I__s112__clean__none,7,hellinger,32.78,57000,25,2,0.1
3,RBF_I__s112__instance__severe,7,hellinger,33.32,57000,0,2,0.1
3,RBF_I__s112__splice__moderate,7,hellinger,32.76,57000,2,2,0.1
3,RBF_I__s112__instance__moderate,7,hellinger,31.8,57000,27,2,0.1
3,SEA_A__s112__concept__moderate,7,hellinger,53.36,57000,3,2,0.1
3,SEA_A__s112__splice__moderate,7,hellinger,53.88,57000,1,2,0.1
