category,series,metric,mean,sd,runs,defined
0,confirmed_False,clean_withhold_rate,0.0,,1,1
0,confirmed_False,poison_admission_rate,,,1,0
0,confirmed_False,resets_per_100k,8.333333333333334,,1,1
0,confirmed_False,training_visits_per_100k,110833.33333333334,,1,1
0,confirmed_True,clean_withhold_rate,0.2727272727272727,,1,1
0,confirmed_True,poison_admission_rate,,,1,0
0,confirmed_True,resets_per_100k,8.333333333333334,,1,1
0,confirmed_True,training_visits_per_100k,110833.33333333334,,1,1
0,immediate_False,clean_withhold_rate,0.0,,1,1
0,immediate_False,poison_admission_rate,,,1,0
0,immediate_False,resets_per_100k,41.66666666666667,,1,1
0,immediate_False,training_visits_per_100k,95000.0,,1,1
0,immediate_True,clean_withhold_rate,0.3636363636363636,,1,1
0,immediate_True,poison_admission_rate,,,1,0
0,immediate_True,resets_per_100k,8.333333333333334,,1,1
0,immediate_True,training_visits_per_100k,95000.0,,1,1
0,none_False,clean_withhold_rate,0.0,,1,1
0,none_False,poison_admission_rate,,,1,0
0,none_False,resets_per_100k,0.0,,1,1
0,none_False,training_visits_per_100k,95000.0,,1,1
0,none_True,clean_withhold_rate,0.3636363636363636,,1,1
0,none_True,poison_admission_rate,,,1,0
0,none_True,resets_per_100k,0.0,,1,1
0,none_True,training_visits_per_100k,95000.0,,1,1
2,confirmed_False,clean_withhold_rate,0.0,,1,1
2,confirmed_False,poison_admission_rate,1.0,,1,1
2,confirmed_False,resets_per_100k,0.0,,1,1
2,confirmed_False,training_visits_per_100k,95000.0,,1,1
2,confirmed_True,clean_withhold_rate,0.3579597738924674,,1,1
2,confirmed_True,poison_admission_rate,0.6211748153359128,,1,1
2,confirmed_True,resets_per_100k,0.0,,1,1
2,confirmed_True,training_visits_per_100k,95000.0,,1,1
2,immediate_False,clean_withhold_rate,0.0,,1,1
2,immediate_False,poison_admission_rate,1.0,,1,1
2,immediate_False,resets_per_100k,25.0,,1,1
2,immediate_False,training_visits_per_100k,95000.0,,1,1
2,immediate_True,clean_withhold_rate,0.1791770737478638,,1,1
2,immediate_True,poison_admission_rate,0.8111150193457615,,1,1
2,immediate_True,resets_per_100k,16.666666666666668,,1,1
2,immediate_True,training_visits_per_100k,95000.0,,1,1
2,none_False,clean_withhold_rate,0.0,,1,1
2,none_False,poison_admission_rate,1.0,,1,1
2,none_False,resets_per_100k,0.0,,1,1
2,none_False,training_visits_per_100k,95000.0,,1,1
2,none_True,clean_withhold_rate,0.3579597738924674,,1,1
2,none_True,poison_admission_rate,0.6211748153359128,,1,1
2,none_True,resets_per_100k,0.0,,1,1
2,none_True,training_visits_per_100k,95000.0,,1,1
