stream,repetition,input_seed,mode,level,condition,shared_clean_reference,within_dataset_weight,dataset_weight,input_rows,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,base_seed,arm,detector,feedback_fraction,delay_blocks,no_feedback_blocks,status
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,54150,0,0,0.9687320420052856,False,3000,rl,True,56050,0.8946297948260482,0.8843860340520493,0,0,,56050,2850,0.0508474576271186,,,115.0,q_alarm_persistence_7,adwin,0.05,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,39900,0,0,0.8807320419873577,False,3000,rl,True,56050,0.8918108831400535,0.8804100424635142,0,0,,56050,17100,0.3050847457627119,,,115.0,q_alarm_persistence_7,adwin,0.05,5,4,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,49400,48450,51,0.6389592500054277,False,3000,rl,True,56050,0.9108652988403212,0.9023066212145908,0,0,,56050,7600,0.135593220338983,,,115.0,q_alarm_47,adwin,0.02,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,47500,950,1,0.8311673339921981,False,3000,rl,True,56050,0.896021409455843,0.88612687810191,0,0,,56050,9500,0.1694915254237288,,,115.0,q_alarm_persistence_17,adwin,0.01,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,47500,950,1,0.8020250829868019,False,3000,rl,True,56050,0.904299732381802,0.895498735930816,0,0,,56050,9500,0.1694915254237288,,,115.0,q_alarm_persistence_17,adwin,0.01,5,4,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,48450,1900,2,0.764606124983402,False,3000,rl,True,56050,0.9072256913470116,0.8992458275369322,0,0,,56050,8550,0.1525423728813559,,,115.0,q_alarm_persistence_17,adwin,0.02,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,39900,1900,2,0.7810817080026027,False,3000,rl,True,56050,0.90085637823372,0.8914156842760601,0,0,,56050,17100,0.3050847457627119,,,115.0,q_alarm_persistence_17,adwin,0.02,5,4,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,47500,950,1,0.8222189170046477,False,3000,rl,True,56050,0.9091703835860838,0.9015361691351264,0,0,,56050,9500,0.1694915254237288,,,115.0,q_alarm_persistence_17,adwin,0.05,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,42750,950,1,0.798910249985056,False,3000,rl,True,56050,0.90085637823372,0.8917031723585069,0,0,,56050,14250,0.2542372881355932,,,115.0,q_alarm_persistence_17,adwin,0.05,5,4,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,51300,44650,47,0.6720552920014597,False,3000,rl,True,56050,0.9090098126672612,0.9003879314310184,0,0,,56050,5700,0.1016949152542373,,,115.0,q_alarm_persistence_27,adwin,0.01,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,46550,41800,44,0.6739333749865182,False,3000,rl,True,56050,0.9104192685102588,0.9017688052180752,0,0,,56050,10450,0.1864406779661017,,,115.0,q_alarm_persistence_27,adwin,0.01,5,4,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,48450,40850,43,0.6707500419870485,False,3000,rl,True,56050,0.9092060660124888,0.9007741867593622,0,0,,56050,8550,0.1525423728813559,,,115.0,q_alarm_persistence_27,adwin,0.02,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,40850,37050,39,0.6752405829902273,False,3000,rl,True,56050,0.903657448706512,0.8938487571653825,0,0,,56050,16150,0.288135593220339,,,115.0,q_alarm_persistence_27,adwin,0.02,5,4,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,37050,31350,33,0.6736590420041466,False,3000,rl,True,56050,0.9112934879571812,0.9027624129911792,0,0,,56050,19950,0.3559322033898305,,,115.0,q_alarm_persistence_27,adwin,0.05,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,29450,26600,28,0.6803698749863543,False,3000,rl,True,56050,0.904299732381802,0.8947592161762141,0,0,,56050,27550,0.4915254237288136,,,115.0,q_alarm_persistence_27,adwin,0.05,5,4,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,52250,5700,6,0.6636573339928873,False,3000,rl,True,56050,0.9065298840321142,0.8980386049776963,0,0,,56050,4750,0.0847457627118644,,,115.0,q_alarm_persistence_37,adwin,0.01,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,47500,5700,6,0.6526538330072071,False,3000,rl,True,56050,0.907493309545049,0.899025926673005,0,0,,56050,9500,0.1694915254237288,,,115.0,q_alarm_persistence_37,adwin,0.01,5,4,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,45600,6650,7,0.6669472090143245,False,3000,rl,True,56050,0.9127207850133808,0.905101418395738,0,0,,56050,11400,0.2033898305084746,,,115.0,q_alarm_persistence_37,adwin,0.02,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,39900,3800,4,0.650797334004892,False,3000,rl,True,56050,0.9071008028545942,0.8985654316438888,0,0,,56050,17100,0.3050847457627119,,,115.0,q_alarm_persistence_37,adwin,0.02,5,4,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,36100,3800,4,0.6869552500138525,False,3000,rl,True,56050,0.9142551293487956,0.9068534602367768,0,0,,56050,20900,0.3728813559322034,,,115.0,q_alarm_persistence_37,adwin,0.05,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,28500,3800,4,0.6762265419820324,False,3000,rl,True,56050,0.8999821587867975,0.890477141855831,0,0,,56050,28500,0.5084745762711864,,,115.0,q_alarm_persistence_37,adwin,0.05,5,4,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,51300,44650,47,0.5995331669982988,False,3000,rl,True,56050,0.9090098126672612,0.9003879314310184,0,0,,56050,5700,0.1016949152542373,,,115.0,q_alarm_persistence_47,adwin,0.01,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,46550,41800,44,0.6044542500167154,False,3000,rl,True,56050,0.9104192685102588,0.9017688052180752,0,0,,56050,10450,0.1864406779661017,,,115.0,q_alarm_persistence_47,adwin,0.01,5,4,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,48450,40850,43,0.6072324589767959,False,3000,rl,True,56050,0.9092060660124888,0.9007741867593622,0,0,,56050,8550,0.1525423728813559,,,115.0,q_alarm_persistence_47,adwin,0.02,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,40850,37050,39,0.6125834590056911,False,3000,rl,True,56050,0.903657448706512,0.8938487571653825,0,0,,56050,16150,0.288135593220339,,,115.0,q_alarm_persistence_47,adwin,0.02,5,4,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,37050,31350,33,0.6189715829968918,False,3000,rl,True,56050,0.9112934879571812,0.9027624129911792,0,0,,56050,19950,0.3559322033898305,,,115.0,q_alarm_persistence_47,adwin,0.05,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,29450,26600,28,0.6264161250146572,False,3000,rl,True,56050,0.904299732381802,0.8947592161762141,0,0,,56050,27550,0.4915254237288136,,,115.0,q_alarm_persistence_47,adwin,0.05,5,4,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,55100,0,0,0.9584793329995592,False,3000,none,True,56050,0.8955396966993756,0.8855610635550317,0,0,,56050,1900,0.0338983050847457,,,115.0,no_reset,hddm_w,0.01,1,0,complete
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,60000,57000,50350,0,0,0.8875855829974171,False,3000,none,True,56050,0.8937912578055308,0.8826433723016265,0,0,,56050,6650,0.1186440677966101,,,115.0,no_reset,hddm_w,0.01,5,4,complete
