epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__clean__none,7,d3_oof,SEA_A,53.86,57000,5,2,0.1
0,SEA_A__s112__splice__moderate,7,d3_oof,SEA_A,54.18,57000,2,2,0.1
0,SEA_A__s112__splice__severe,7,d3_oof,SEA_A,53.72,57000,1,2,0.1
0,SEA_A__s112__instance__severe,7,d3_oof,SEA_A,53.74,57000,3,2,0.1
0,SEA_A__s112__concept__severe,7,d3_oof,SEA_A,53.6,57000,0,2,0.1
0,SEA_A__s112__instance__moderate,7,d3_oof,SEA_A,54.12,57000,2,2,0.1
0,SEA_A__s112__concept__moderate,7,d3_oof,SEA_A,53.339999999999996,57000,3,2,0.1
1,SEA_A__s112__splice__severe,7,d3_oof,SEA_A,53.18,57000,1,2,0.1
1,SEA_A__s112__instance__severe,7,d3_oof,SEA_A,53.36,57000,1,2,0.1
1,SEA_A__s112__clean__none,7,d3_oof,SEA_A,53.94,57000,2,2,0.1
1,SEA_A__s112__concept__moderate,7,d3_oof,SEA_A,52.88,57000,1,2,0.1
1,SEA_A__s112__concept__severe,7,d3_oof,SEA_A,53.82,57000,17,2,0.1
1,SEA_A__s112__instance__moderate,7,d3_oof,SEA_A,54.48,57000,24,2,0.1
1,SEA_A__s112__splice__moderate,7,d3_oof,SEA_A,54.02,57000,37,2,0.1
2,SEA_A__s112__concept__severe,7,d3_oof,SEA_A,53.74,57000,17,2,0.1
2,SEA_A__s112__instance__severe,7,d3_oof,SEA_A,54.0,57000,3,2,0.1
2,SEA_A__s112__clean__none,7,d3_oof,SEA_A,54.3,57000,36,2,0.1
2,SEA_A__s112__concept__moderate,7,d3_oof,SEA_A,53.82,57000,25,2,0.1
2,SEA_A__s112__splice__severe,7,d3_oof,SEA_A,54.1,57000,29,2,0.1
2,SEA_A__s112__instance__moderate,7,d3_oof,SEA_A,54.32,57000,26,2,0.1
2,SEA_A__s112__splice__moderate,7,d3_oof,SEA_A,54.04,57000,18,2,0.1
3,SEA_A__s112__concept__severe,7,d3_oof,SEA_A,53.94,57000,1,2,0.1
3,SEA_A__s112__instance__moderate,7,d3_oof,SEA_A,54.4,57000,28,2,0.1
3,SEA_A__s112__splice__severe,7,d3_oof,SEA_A,54.06,57000,30,2,0.1
3,SEA_A__s112__concept__moderate,7,d3_oof,SEA_A,53.46,57000,2,2,0.1
3,SEA_A__s112__clean__none,7,d3_oof,SEA_A,54.28,57000,36,2,0.1
3,SEA_A__s112__instance__severe,7,d3_oof,SEA_A,53.36,57000,3,2,0.1
3,SEA_A__s112__splice__moderate,7,d3_oof,SEA_A,54.04,57000,35,2,0.1
