stream,condition,detector,arm,feedback_fraction,delay_blocks,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,malicious_recall,benign_fpr,stage,prediction_sha256,summary_path,summary_sha256
RBF_I,RBF_I__s114__clean__none,adwin,map_0000,0.05,1,0.6159922292291727,0.6186440677966102,,0.2711864406779661,0,,,validation,20670d9e992a57b418b22fa4dfdbfd8cb4f5b3683c41a066046168986f04ae99,results/per_dataset_study/validation_runs/RBF_I/adwin/RBF_I__s114__clean__none/map_0000/feedback_0.05_delay_1/summary.json,4ca3a93a4e2a2b5c734c99b7a4a9bf73c6c403b395a71c82434848617db2a839
RBF_I,RBF_I__s114__clean__none,adwin,map_0001,0.05,1,0.5893648908939335,0.5932917038358608,,0.3220338983050847,1,,,validation,4401aabe40682fbee5a212e305e9e1358bb8695656ec913a142390f900219285,results/per_dataset_study/validation_runs/RBF_I/adwin/RBF_I__s114__clean__none/map_0001/feedback_0.05_delay_1/summary.json,4efd656c755188d5f7d005e6cc04e421f9e0e1d84d33ad7b72411bcaaf63faec
RBF_I,RBF_I__s114__clean__none,adwin,map_0010,0.05,1,0.5664855395041999,0.5701516503122213,,0.3050847457627119,2,,,validation,3d06c1de79a619f4a1ca803e84027ffd43a37af76e7c8bcd91ceccaa0fe3dfdf,results/per_dataset_study/validation_runs/RBF_I/adwin/RBF_I__s114__clean__none/map_0010/feedback_0.05_delay_1/summary.json,b8026546a062594bfe936d291cce07e2474c339f4ef077f23dd123e544f8d40b
RBF_I,RBF_I__s114__clean__none,adwin,map_0011,0.05,1,0.5736262372237494,0.5778233719892952,,0.2711864406779661,3,,,validation,d64d97decdea4e5dcd1f4ada53d2de634b1dcd0897b168b120615482fb542dae,results/per_dataset_study/validation_runs/RBF_I/adwin/RBF_I__s114__clean__none/map_0011/feedback_0.05_delay_1/summary.json,c95059142b68e4c1e4dafd4904086552245990eadefc6c3dc709b70ca10f2072
RBF_I,RBF_I__s114__clean__none,adwin,map_0100,0.05,1,0.5868777419344888,0.5912221231043711,,0.3050847457627119,7,,,validation,ea02dcc075a508ec9a62c81a6e76f7cb9fa68dca77df3245e1a1e6d2a84ddf4e,results/per_dataset_study/validation_runs/RBF_I/adwin/RBF_I__s114__clean__none/map_0100/feedback_0.05_delay_1/summary.json,5ee9abd0e9a502eeda16d721158cab8de05fc282bc9d1c339da233080619723f
RBF_I,RBF_I__s114__clean__none,adwin,map_0101,0.05,1,0.5862294573994415,0.5909901873327387,,0.2711864406779661,9,,,validation,031d6044461c4c4904f856cc39fce6b78f036f91979fa6fdf444d3a47f072ba8,results/per_dataset_study/validation_runs/RBF_I/adwin/RBF_I__s114__clean__none/map_0101/feedback_0.05_delay_1/summary.json,9f84afeb91548aebe3030bfd436afea087924fb7be6ba737942df53d50526365
RBF_I,RBF_I__s114__clean__none,adwin,map_0110,0.05,1,0.583363714731049,0.588171275646744,,0.3898305084745763,9,,,validation,775e52c8b10a1d9461f286c7dbcf1b5daf04b40c5691cb48e94195a6814f3b90,results/per_dataset_study/validation_runs/RBF_I/adwin/RBF_I__s114__clean__none/map_0110/feedback_0.05_delay_1/summary.json,5aec8cc1f32b48f97833687136337ededeee1abfbecb7c2492890cab2a49045e
RBF_I,RBF_I__s114__clean__none,adwin,map_0111,0.05,1,0.586936204550057,0.5917573595004461,,0.3559322033898305,10,,,validation,9256c94c47b78ae46a833c9433eef975139ca82b1360a1037b66f2fa8cc364b2,results/per_dataset_study/validation_runs/RBF_I/adwin/RBF_I__s114__clean__none/map_0111/feedback_0.05_delay_1/summary.json,e39f94f772fc9047295351cf01c82211b6b2040f03e63ab68b023ba721ce23fc
RBF_I,RBF_I__s114__clean__none,adwin,map_1000,0.05,1,0.5781450058134341,0.5820695807314897,,0.559322033898305,16,,,validation,42ca8e5b7c087c05da7b01b1eafc1421137c4f20b700d089fdadb028f292f5e9,results/per_dataset_study/validation_runs/RBF_I/adwin/RBF_I__s114__clean__none/map_1000/feedback_0.05_delay_1/summary.json,98ca69659a832c306969a6f7d7988603a9f53bae6e0a6129a52c8e48df58afa8
RBF_I,RBF_I__s114__clean__none,adwin,map_1001,0.05,1,0.5776380062653046,0.5819625334522748,,0.5932203389830508,16,,,validation,cabac507eda7b15fe3b98d17dfeb810944c6778edb12c45aab8b7028ffb2fcc3,results/per_dataset_study/validation_runs/RBF_I/adwin/RBF_I__s114__clean__none/map_1001/feedback_0.05_delay_1/summary.json,0c7b9e9388633ad4ba6da9c6cbebed9b4c63dd3a61ad0f4a3fd79b98e801d7b2
RBF_I,RBF_I__s114__clean__none,adwin,map_1010,0.05,1,0.5781450058134341,0.5820695807314897,,0.559322033898305,16,,,validation,42ca8e5b7c087c05da7b01b1eafc1421137c4f20b700d089fdadb028f292f5e9,results/per_dataset_study/validation_runs/RBF_I/adwin/RBF_I__s114__clean__none/map_1010/feedback_0.05_delay_1/summary.json,467a1dcb79b5d3e3d88167b8a22de5d65d23299c1bc46b0da4495f7c14188fc0
RBF_I,RBF_I__s114__clean__none,adwin,map_1011,0.05,1,0.5776380062653046,0.5819625334522748,,0.5932203389830508,16,,,validation,cabac507eda7b15fe3b98d17dfeb810944c6778edb12c45aab8b7028ffb2fcc3,results/per_dataset_study/validation_runs/RBF_I/adwin/RBF_I__s114__clean__none/map_1011/feedback_0.05_delay_1/summary.json,f6b3361e70c457333d741e500137e538f73a44348d17d13ae2580651520955b1
